,count
cell_1498,0.0
cell_1499,1.0
cell_1500,5.0
cell_1501,0.0
cell_1502,0.0
cell_1503,6.0
cell_1504,0.0
cell_1505,0.0
cell_1506,0.0
cell_1507,0.0
cell_1508,7.0
cell_1509,2.0
cell_1510,5.0
cell_1511,1.0
cell_1512,1.0
cell_1513,3.0
cell_1514,3.0
cell_1515,1.0
cell_1516,0.0
cell_1517,1.0
cell_1518,0.0
cell_1519,0.0
cell_1520,2.0
cell_1521,2.0
cell_1522,0.0
