,count
cell_355,1.0
cell_356,0.0
cell_357,0.0
cell_358,1.0
cell_359,0.0
cell_360,2.0
cell_361,0.0
cell_362,0.0
cell_363,1.0
cell_364,4.0
cell_365,0.0
cell_366,1.0
cell_367,0.0
cell_368,1.0
cell_369,3.0
cell_370,0.0
cell_371,0.0
cell_372,4.0
cell_373,0.0
cell_374,0.0
cell_375,0.0
cell_376,4.0
cell_377,2.0
cell_378,0.0
cell_379,3.0
cell_380,0.0
cell_381,0.0
cell_382,0.0
cell_383,2.0
cell_384,4.0
cell_385,3.0
cell_386,0.0
cell_387,0.0
cell_388,2.0
cell_389,5.0
cell_390,3.0
cell_391,2.0
cell_392,2.0
cell_393,1.0
cell_394,0.0
cell_395,0.0
cell_396,0.0
cell_397,1.0
cell_398,0.0
cell_399,0.0
cell_400,1.0
cell_401,4.0
cell_402,3.0
cell_403,0.0
cell_404,0.0
cell_405,9.0
cell_406,4.0
cell_407,2.0
cell_408,0.0
cell_409,8.0
cell_410,0.0
cell_411,3.0
cell_412,2.0
cell_413,4.0
cell_414,0.0
cell_415,0.0
cell_416,2.0
cell_417,1.0
cell_418,2.0
cell_419,3.0
cell_420,0.0
cell_421,0.0
cell_422,1.0
cell_423,0.0
cell_424,4.0
cell_425,4.0
cell_426,0.0
cell_427,0.0
cell_428,0.0
cell_429,0.0
cell_430,2.0
cell_431,1.0
cell_432,0.0
cell_433,5.0
cell_434,1.0
cell_435,0.0
cell_436,1.0
cell_437,0.0
cell_438,1.0
cell_439,3.0
cell_440,0.0
cell_441,5.0
cell_442,1.0
cell_443,0.0
cell_444,2.0
cell_445,3.0
cell_446,0.0
cell_447,1.0
cell_448,0.0
cell_449,5.0
cell_450,1.0
cell_451,1.0
cell_452,0.0
cell_453,1.0
cell_454,2.0
cell_455,0.0
cell_456,0.0
cell_457,0.0
cell_458,2.0
cell_459,4.0
cell_460,0.0
cell_461,0.0
cell_462,0.0
cell_463,0.0
cell_464,1.0
cell_465,1.0
cell_466,0.0
cell_467,0.0
cell_468,0.0
cell_469,0.0
cell_470,3.0
cell_471,5.0
cell_472,0.0
cell_473,2.0
cell_474,1.0
cell_475,0.0
cell_476,1.0
cell_477,1.0
cell_478,0.0
cell_479,0.0
cell_480,0.0
cell_481,0.0
cell_482,0.0
cell_483,3.0
cell_484,2.0
cell_485,0.0
cell_486,1.0
cell_487,0.0
cell_488,0.0
cell_489,0.0
cell_490,0.0
cell_491,3.0
cell_492,0.0
cell_493,0.0
cell_494,8.0
cell_495,6.0
cell_496,0.0
cell_497,0.0
cell_498,0.0
cell_499,0.0
cell_500,0.0
cell_501,2.0
