	loss1	loss2	loss3	loss4	loss5	total
0	1140.9101549207526	1140.9101549207526	1.1409101549207525	1.1409101549207525	114.09101549207527	2398.1931456434218
1	1138.6951426179744	1139.5490497130197	1.2180884841060358	1.1179460661729292	113.96566722831854	2394.5458941095917
2	1136.4846794339094	1138.1903349660934	1.203193744004226	1.1173680489695652	113.84049916502595	2390.8360753580023
3	1134.2787334941402	1136.834038143175	1.1691188944029844	1.1146674688081177	113.71554377771537	2387.112101778241
4	1132.0771192654545	1135.4800046147877	1.198254181975118	1.1105188433878113	113.5907867337145	2383.45668363932
5	1129.879960688502	1134.1283663027307	1.2057271630492974	1.1202815931389876	113.46623945136908	2379.80057519879
6	1127.6872869587467	1132.7791611773791	1.1639462403666234	1.1010585832587374	113.341906613667	2376.0733595734187
7	1125.4990291222293	1131.43224665703	1.1298141849818295	1.1068417467445928	113.21777420142664	2372.3857059124125
8	1123.3152293833336	1130.0877682346943	1.1687881661717872	1.0911485514866222	113.09385644181681	2368.7567907775037
9	1121.1358290394726	1128.7455636521222	1.1667439421284946	1.094460769334067	112.9701379836515	2365.1127353867087
10	1118.9607640215293	1127.405725052142	1.1494546371606325	1.0868446235854985	112.8466274918289	2361.449415826246
11	1116.790170758553	1126.0682618368132	1.2482986136171335	1.090739437650061	112.7233256438195	2357.9207962904525
12	1114.6239943968733	1124.7331812368443	1.146195391044013	1.1089736968182538	112.6002330670153	2354.2125777885954
13	1112.4620483874303	1123.4003308721612	1.162625960992329	1.1158511742834618	112.4773361929811	2350.6181925878486
14	1110.304447803112	1122.069788912946	1.2110230456194457	1.1021748298728393	112.35464123913668	2347.042075830687
15	1108.1512944064302	1120.7416392032435	1.120879396363185	1.0954792996068223	112.232157869991	2343.3414501756347
16	1106.002498566883	1119.4157689681883	1.0838531415256976	1.0672252521790644	112.10987397831069	2339.6792199070865
17	1103.85804745904	1118.0922768004084	1.1908918990471054	1.0911859758807758	111.98779987804905	2336.220202012425
18	1101.7178851511121	1116.7710616510071	1.1693937328441457	1.0814982435858302	111.8659252497993	2332.6057640283484
19	1099.5820923372198	1115.4521859208976	1.2638433232755661	1.1023201763900143	111.74425683137079	2329.144698589154
