	sc_id	spot	exp_cor_before	interface_cor_before	mix_cor_before	exp_cor_after	interface_cor_after	mix_cor_after	celltype	UMAP1	UMAP2	st_x	st_y	spex_UMAP1	spex_UMAP2	indice	core1	core2	centering_scale_factor	adj_spex_UMAP1	adj_spex_UMAP2
31	cell_678	spot_3	0.934084474885783	0.5486632043906031	0.895542347836265	0.979856686963049	0.8178722562217043	0.9636582438889145	Olig	-16.594465	-9.024365	375	2625	25.021208	19.449654	112	25.217849731445312	19.288387298583984	312.9133437040229	313.46811867551105	2675.4623855784894
32	cell_865	spot_3	0.934084474885783	0.5486632043906031	0.895542347836265	0.979856686963049	0.8178722562217043	0.9636582438889145	Olig	-16.524559	-9.020072	375	2625	25.058006	19.381338	112	25.217849731445312	19.288387298583984	312.9133437040229	324.98285321088423	2654.085552175003
33	cell_373	spot_3	0.934084474885783	0.5486632043906031	0.895542347836265	0.979856686963049	0.8178722562217043	0.9636582438889145	Astro	-16.612835	-9.067122	375	2625	25.04466	19.390327	112	25.217849731445312	19.288387298583984	312.9133437040229	320.80679984728056	2656.898434767924
34	cell_126	spot_3	0.934084474885783	0.5486632043906031	0.895542347836265	0.979856686963049	0.8178722562217043	0.9636582438889145	Astro	-16.597067	-9.021325	375	2625	25.06203	19.437908	112	25.217849731445312	19.288387298583984	312.9133437040229	326.2421747197028	2671.787076644222
35	cell_269	spot_4	0.9619257053111949	0.6990934245490582	0.9356424772349812	0.9820642588025856	0.8089626928230333	0.9647541022046304	ExcitatoryL6	-17.952187	-8.087115	375	3375	26.56327	18.16631	123	26.38005828857422	18.32999610900879	240.3819620156954	419.0409273974984	3335.652657321501
36	cell_1077	spot_4	0.9619257053111949	0.6990934245490582	0.9356424772349812	0.9820642588025856	0.8089626928230333	0.9647541022046304	ExcitatoryL6	-17.898	-8.176363	375	3375	26.524076	18.269268	123	26.38005828857422	18.32999610900879	240.3819620156954	409.61937104400465	3360.402066633954
37	cell_1072	spot_4	0.9619257053111949	0.6990934245490582	0.9356424772349812	0.9820642588025856	0.8089626928230333	0.9647541022046304	ExcitatoryL6	-17.989828	-8.11319	375	3375	26.606182	18.171553	123	26.38005828857422	18.32999610900879	240.3819620156954	429.3560850616622	3336.9130523974536
38	cell_599	spot_4	0.9619257053111949	0.6990934245490582	0.9356424772349812	0.9820642588025856	0.8089626928230333	0.9647541022046304	ExcitatoryL6	-17.76884	-8.169492	375	3375	26.308134	18.385181	123	26.38005828857422	18.32999610900879	240.3819620156954	357.7107173811915	3388.265555013657
39	cell_7	spot_4	0.9619257053111949	0.6990934245490582	0.9356424772349812	0.9820642588025856	0.8089626928230333	0.9647541022046304	ExcitatoryL6	-17.932558	-8.096754	375	3375	26.439663	18.155493	123	26.38005828857422	18.32999610900879	240.3819620156954	389.327881456357	3333.052548017853
40	cell_1277	spot_4	0.9619257053111949	0.6990934245490582	0.9356424772349812	0.9820642588025856	0.8089626928230333	0.9647541022046304	ExcitatoryL6	-17.92195	-8.023692	375	3375	26.527103	18.22563	123	26.38005828857422	18.32999610900879	240.3819620156954	410.34699817588427	3349.912223439074
41	cell_130	spot_4	0.9619257053111949	0.6990934245490582	0.9356424772349812	0.9820642588025856	0.8089626928230333	0.9647541022046304	ExcitatoryL6	-17.998009	-8.160949	375	3375	26.577206	18.220669	123	26.38005828857422	18.32999610900879	240.3819620156954	422.390671458943	3348.7196852096986
42	cell_330	spot_4	0.9619257053111949	0.6990934245490582	0.9356424772349812	0.9820642588025856	0.8089626928230333	0.9647541022046304	Endo	-17.98286	-8.150538	375	3375	26.523634	18.279833	123	26.38005828857422	18.32999610900879	240.3819620156954	409.51300085207265	3362.94165496633
43	cell_309	spot_4	0.9619257053111949	0.6990934245490582	0.9356424772349812	0.9820642588025856	0.8089626928230333	0.9647541022046304	Olig	-16.791986	-8.940744	375	3375	25.181063	19.328026	123	26.38005828857422	18.32999610900879	240.3819620156954	86.78308757716292	3614.908339566274
44	cell_1519	spot_4	0.9619257053111949	0.6990934245490582	0.9356424772349812	0.9820642588025856	0.8089626928230333	0.9647541022046304	Olig	-17.370096	-8.518775	375	3375	26.24178	18.428246	123	26.38005828857422	18.32999610900879	240.3819620156954	341.76023200566505	3398.617392054349
45	cell_1425	spot_4	0.9619257053111949	0.6990934245490582	0.9356424772349812	0.9820642588025856	0.8089626928230333	0.9647541022046304	Sst	-18.042824	-8.074162	375	3375	26.584862	18.132524	123	26.38005828857422	18.32999610900879	240.3819620156954	424.2310591762491	3327.5313848659343
46	cell_796	spot_4	0.9619257053111949	0.6990934245490582	0.9356424772349812	0.9820642588025856	0.8089626928230333	0.9647541022046304	ExcitatoryL5	-18.004137	-8.121438	375	3375	26.483715	18.197218	123	26.38005828857422	18.32999610900879	240.3819620156954	399.91721746006965	3343.082523529509
47	cell_89	spot_5	0.9625776656377242	0.853047576342231	0.9516246567081749	0.993701458934462	0.9583991651637137	0.9901712295573872	ExcitatoryL6	-18.232992	-8.04331	375	4125	26.817268	18.096813	134	26.806127548217773	18.076311111450195	0.0	375.0	4125.0
48	cell_1012	spot_5	0.9625776656377242	0.853047576342231	0.9516246567081749	0.993701458934462	0.9583991651637137	0.9901712295573872	ExcitatoryL6	-18.22305	-7.9214044	375	4125	26.787844	18.088476	134	26.806127548217773	18.076311111450195	1486.9858031771503	347.8121835532071	4143.089285760238
49	cell_1009	spot_5	0.9625776656377242	0.853047576342231	0.9516246567081749	0.993701458934462	0.9583991651637137	0.9901712295573872	ExcitatoryL6	-18.162895	-8.118361	375	4125	26.7023	18.175198	134	26.806127548217773	18.076311111450195	1486.9858031771503	220.60859836244325	4272.042806559981
50	cell_1004	spot_5	0.9625776656377242	0.853047576342231	0.9516246567081749	0.993701458934462	0.9583991651637137	0.9901712295573872	ExcitatoryL6	-18.341633	-7.834218	375	4125	26.83818	18.029219	134	26.806127548217773	18.076311111450195	1486.9858031771503	422.6623466918793	4054.974213637459
51	cell_44	spot_5	0.9625776656377242	0.853047576342231	0.9516246567081749	0.993701458934462	0.9583991651637137	0.9901712295573872	ExcitatoryL6	-18.105654	-8.028994	375	4125	26.7235	18.0324	134	26.806127548217773	18.076311111450195	1486.9858031771503	252.13296512711082	4059.704995802413
52	cell_172	spot_5	0.9625776656377242	0.853047576342231	0.9516246567081749	0.993701458934462	0.9583991651637137	0.9901712295573872	ExcitatoryL6	-18.154436	-7.9234567	375	4125	26.67984	18.13807	134	26.806127548217773	18.076311111450195	1486.9858031771503	187.21233937423267	4216.833330766817
53	cell_147	spot_5	0.9625776656377242	0.853047576342231	0.9516246567081749	0.993701458934462	0.9583991651637137	0.9901712295573872	ExcitatoryL6	-18.16191	-7.944944	375	4125	26.85688	18.070843	134	26.806127548217773	18.076311111450195	1486.9858031771503	450.46845481250915	4116.8686136289425
54	cell_87	spot_5	0.9625776656377242	0.853047576342231	0.9516246567081749	0.993701458934462	0.9583991651637137	0.9901712295573872	ExcitatoryL6	-18.137894	-8.040939	375	4125	26.69149	18.147055	134	26.806127548217773	18.076311111450195	1486.9858031771503	204.53585104302167	4230.19467056244
55	cell_105	spot_5	0.9625776656377242	0.853047576342231	0.9516246567081749	0.993701458934462	0.9583991651637137	0.9901712295573872	ExcitatoryL6	-18.15549	-7.954722	375	4125	26.69682	18.067614	134	26.806127548217773	18.076311111450195	1486.9858031771503	212.46019478935375	4112.066926455521
56	cell_21	spot_5	0.9625776656377242	0.853047576342231	0.9516246567081749	0.993701458934462	0.9583991651637137	0.9901712295573872	ExcitatoryL6	-18.260992	-7.878466	375	4125	26.839312	18.045086	134	26.806127548217773	18.076311111450195	1486.9858031771503	424.3442134927293	4078.568564255117
57	cell_161	spot_5	0.9625776656377242	0.853047576342231	0.9516246567081749	0.993701458934462	0.9583991651637137	0.9901712295573872	Other	-18.418055	-7.822769	375	4125	27.019815	17.942385	134	26.806127548217773	18.076311111450195	1486.9858031771503	692.7508687460877	3925.853357017733
58	cell_907	spot_5	0.9625776656377242	0.853047576342231	0.9516246567081749	0.993701458934462	0.9583991651637137	0.9901712295573872	Other	-18.410706	-7.8986206	375	4125	27.020283	18.082582	134	26.806127548217773	18.076311111450195	0.0	375.0	4125.0
59	cell_244	spot_6	0.9608430479470317	0.8091496964746492	0.9456737127997934	0.9919677655686385	0.9482718809904082	0.9875981771108154	ExcitatoryL6	-18.790789	-7.518568	375	4875	27.407839	17.562807	145	27.288211822509766	17.733360290527344	1800.0780213293936	590.3379314799465	4567.990919896597
60	cell_295	spot_6	0.9608430479470317	0.8091496964746492	0.9456737127997934	0.9919677655686385	0.9482718809904082	0.9875981771108154	ExcitatoryL6	-18.815975	-7.607291	375	4875	27.417168	17.720137	145	27.288211822509766	17.733360290527344	1800.0780213293936	607.1305752221685	4851.196401745077
61	cell_174	spot_6	0.9608430479470317	0.8091496964746492	0.9456737127997934	0.9919677655686385	0.9482718809904082	0.9875981771108154	ExcitatoryL6	-18.73212	-7.6405883	375	4875	27.184055	17.807468	145	27.288211822509766	17.733360290527344	1800.0780213293936	187.5101841187372	5008.400404817071
62	cell_2	spot_6	0.9608430479470317	0.8091496964746492	0.9456737127997934	0.9919677655686385	0.9482718809904082	0.9875981771108154	ExcitatoryL6	-18.612272	-7.598889	375	4875	27.192677	17.753813	145	27.288211822509766	17.733360290527344	1800.0780213293936	203.02904523401898	4911.816094632559
