,sc_id,spot,exp_cor_before,interface_cor_before,mix_cor_before,exp_cor_after,interface_cor_after,mix_cor_after,celltype
0,cell_387,spot_0,0.9347312517451826,0.7312126940318875,0.9143793959738531,0.9724405046573518,0.769826135467546,0.9521790677383712,HPC
1,cell_917,spot_0,0.9347312517451826,0.7312126940318875,0.9143793959738531,0.9724405046573518,0.769826135467546,0.9521790677383712,HPC
2,cell_103,spot_0,0.9347312517451826,0.7312126940318875,0.9143793959738531,0.9724405046573518,0.769826135467546,0.9521790677383712,HPC
3,cell_319,spot_0,0.9347312517451826,0.7312126940318875,0.9143793959738531,0.9724405046573518,0.769826135467546,0.9521790677383712,Endo
4,cell_22,spot_0,0.9347312517451826,0.7312126940318875,0.9143793959738531,0.9724405046573518,0.769826135467546,0.9521790677383712,Endo
5,cell_1134,spot_0,0.9347312517451826,0.7312126940318875,0.9143793959738531,0.9724405046573518,0.769826135467546,0.9521790677383712,Sst
6,cell_159,spot_0,0.9347312517451826,0.7312126940318875,0.9143793959738531,0.9724405046573518,0.769826135467546,0.9521790677383712,Sst
7,cell_443,spot_0,0.9347312517451826,0.7312126940318875,0.9143793959738531,0.9724405046573518,0.769826135467546,0.9521790677383712,Astro
8,cell_96,spot_0,0.9347312517451826,0.7312126940318875,0.9143793959738531,0.9724405046573518,0.769826135467546,0.9521790677383712,Astro
9,cell_325,spot_1,0.9443476272631885,0.712629034475785,0.9211757679844482,0.9656557667555276,0.8619877527054128,0.9552889653505161,ExcitatoryL6
10,cell_676,spot_1,0.9443476272631885,0.712629034475785,0.9211757679844482,0.9656557667555276,0.8619877527054128,0.9552889653505161,ExcitatoryL6
11,cell_1090,spot_1,0.9443476272631885,0.712629034475785,0.9211757679844482,0.9656557667555276,0.8619877527054128,0.9552889653505161,Micro
12,cell_1214,spot_1,0.9443476272631885,0.712629034475785,0.9211757679844482,0.9656557667555276,0.8619877527054128,0.9552889653505161,Micro
13,cell_238,spot_1,0.9443476272631885,0.712629034475785,0.9211757679844482,0.9656557667555276,0.8619877527054128,0.9552889653505161,Endo
14,cell_365,spot_1,0.9443476272631885,0.712629034475785,0.9211757679844482,0.9656557667555276,0.8619877527054128,0.9552889653505161,Endo
15,cell_1487,spot_1,0.9443476272631885,0.712629034475785,0.9211757679844482,0.9656557667555276,0.8619877527054128,0.9552889653505161,Olig
16,cell_156,spot_1,0.9443476272631885,0.712629034475785,0.9211757679844482,0.9656557667555276,0.8619877527054128,0.9552889653505161,Other
17,cell_752,spot_1,0.9443476272631885,0.712629034475785,0.9211757679844482,0.9656557667555276,0.8619877527054128,0.9552889653505161,ExcitatoryL5
18,cell_785,spot_1,0.9443476272631885,0.712629034475785,0.9211757679844482,0.9656557667555276,0.8619877527054128,0.9552889653505161,ExcitatoryL5
19,cell_375,spot_1,0.9443476272631885,0.712629034475785,0.9211757679844482,0.9656557667555276,0.8619877527054128,0.9552889653505161,Astro
20,cell_882,spot_1,0.9443476272631885,0.712629034475785,0.9211757679844482,0.9656557667555276,0.8619877527054128,0.9552889653505161,Astro
21,cell_552,spot_2,0.9048912538572087,0.2525618538826104,0.8396583138597489,0.9762173045384455,0.9333867881599773,0.9719342529005988,ExcitatoryL6
22,cell_78,spot_2,0.9048912538572087,0.2525618538826104,0.8396583138597489,0.9762173045384455,0.9333867881599773,0.9719342529005988,Olig
23,cell_823,spot_2,0.9048912538572087,0.2525618538826104,0.8396583138597489,0.9762173045384455,0.9333867881599773,0.9719342529005988,Olig
24,cell_47,spot_2,0.9048912538572087,0.2525618538826104,0.8396583138597489,0.9762173045384455,0.9333867881599773,0.9719342529005988,Olig
25,cell_124,spot_2,0.9048912538572087,0.2525618538826104,0.8396583138597489,0.9762173045384455,0.9333867881599773,0.9719342529005988,Olig
26,cell_1417,spot_2,0.9048912538572087,0.2525618538826104,0.8396583138597489,0.9762173045384455,0.9333867881599773,0.9719342529005988,Olig
27,cell_421,spot_2,0.9048912538572087,0.2525618538826104,0.8396583138597489,0.9762173045384455,0.9333867881599773,0.9719342529005988,Olig
28,cell_732,spot_3,0.934084474885783,0.5486632043906031,0.895542347836265,0.979856686963049,0.8178722562217043,0.9636582438889145,Olig
29,cell_48,spot_3,0.934084474885783,0.5486632043906031,0.895542347836265,0.979856686963049,0.8178722562217043,0.9636582438889145,Olig
30,cell_1504,spot_3,0.934084474885783,0.5486632043906031,0.895542347836265,0.979856686963049,0.8178722562217043,0.9636582438889145,Olig
31,cell_678,spot_3,0.934084474885783,0.5486632043906031,0.895542347836265,0.979856686963049,0.8178722562217043,0.9636582438889145,Olig
32,cell_865,spot_3,0.934084474885783,0.5486632043906031,0.895542347836265,0.979856686963049,0.8178722562217043,0.9636582438889145,Olig
33,cell_373,spot_3,0.934084474885783,0.5486632043906031,0.895542347836265,0.979856686963049,0.8178722562217043,0.9636582438889145,Astro
34,cell_126,spot_3,0.934084474885783,0.5486632043906031,0.895542347836265,0.979856686963049,0.8178722562217043,0.9636582438889145,Astro
35,cell_269,spot_4,0.9619257053111949,0.6990934245490582,0.9356424772349812,0.9820642588025856,0.8089626928230333,0.9647541022046304,ExcitatoryL6
36,cell_1077,spot_4,0.9619257053111949,0.6990934245490582,0.9356424772349812,0.9820642588025856,0.8089626928230333,0.9647541022046304,ExcitatoryL6
37,cell_1072,spot_4,0.9619257053111949,0.6990934245490582,0.9356424772349812,0.9820642588025856,0.8089626928230333,0.9647541022046304,ExcitatoryL6
