,sc_id,spot,corr,celltype
38,cell_765,spot_4,0.9619257045539361,Olig
39,cell_1481,spot_4,0.9619257045539361,Endo
40,cell_1462,spot_4,0.9619257045539361,ExcitatoryL6
41,cell_1454,spot_4,0.9619257045539361,ExcitatoryL6
42,cell_1461,spot_4,0.9619257045539361,ExcitatoryL6
43,cell_713,spot_4,0.9619257045539361,ExcitatoryL6
44,cell_349,spot_4,0.9619257045539361,ExcitatoryL6
45,cell_1482,spot_4,0.9619257045539361,ExcitatoryL6
46,cell_93,spot_4,0.9619257045539361,ExcitatoryL6
47,cell_409,spot_5,0.9625776640976477,Other
48,cell_603,spot_5,0.9625776640976477,Other
49,cell_1462,spot_5,0.9625776640976477,ExcitatoryL6
50,cell_1454,spot_5,0.9625776640976477,ExcitatoryL6
51,cell_1461,spot_5,0.9625776640976477,ExcitatoryL6
52,cell_713,spot_5,0.9625776640976477,ExcitatoryL6
53,cell_664,spot_5,0.9625776640976477,ExcitatoryL6
54,cell_1496,spot_5,0.9625776640976477,ExcitatoryL6
55,cell_349,spot_5,0.9625776640976477,ExcitatoryL6
56,cell_507,spot_5,0.9625776640976477,ExcitatoryL6
57,cell_1083,spot_5,0.9625776640976477,ExcitatoryL6
58,cell_184,spot_5,0.9625776640976477,ExcitatoryL6
59,cell_1449,spot_6,0.9608430460705399,ExcitatoryL5
60,cell_1445,spot_6,0.9608430460705399,ExcitatoryL5
61,cell_1489,spot_6,0.9608430460705399,Olig
62,cell_1068,spot_6,0.9608430460705399,Olig
63,cell_494,spot_6,0.9608430460705399,ExcitatoryL4
64,cell_1462,spot_6,0.9608430460705399,ExcitatoryL6
65,cell_1454,spot_6,0.9608430460705399,ExcitatoryL6
66,cell_1461,spot_6,0.9608430460705399,ExcitatoryL6
67,cell_713,spot_6,0.9608430460705399,ExcitatoryL6
68,cell_1482,spot_6,0.9608430460705399,ExcitatoryL6
69,cell_1348,spot_6,0.9608430460705399,ExcitatoryL6
70,cell_1272,spot_6,0.9608430460705399,ExcitatoryL6
71,cell_1500,spot_6,0.9608430460705399,ExcitatoryL6
72,cell_1449,spot_7,0.9699254796798499,ExcitatoryL5
73,cell_1445,spot_7,0.9699254796798499,ExcitatoryL5
74,cell_1470,spot_7,0.9699254796798499,ExcitatoryL2and3
75,cell_1489,spot_7,0.9699254796798499,Olig
76,cell_667,spot_7,0.9699254796798499,Olig
77,cell_1481,spot_7,0.9699254796798499,Endo
