	adj_spex_UMAP1	adj_spex_UMAP2
0	3362.349403639567	11895.774813950275
1	3177.0758502891995	11520.708960439413
2	3375.0	11625.0
3	3375.0	11625.0
4	3223.6457972867106	11281.901026930967
5	3375.0	11625.0
6	4200.838162250247	12211.972536785252
7	4229.2534056161985	12368.937248377651
8	3908.2298962026607	12680.99954591419
9	4181.97857118245	12155.454138783807
10	4014.9504248098497	12312.14611065796
11	4188.670606626083	12336.526878775421
12	4171.9154367763895	12248.290173188092
13	4060.5844655091014	12480.21505342233
14	4022.266036966127	12492.670968219969
15	4125.0	12375.0
16	4105.284793197153	12307.91804427686
17	6375.0	5625.0
18	6471.558230992442	5354.3781526299645
19	6307.670890265183	5529.880932551566
20	6080.894280073599	5857.651725776048
21	6290.660661503496	5815.970936650994
22	6348.841543609507	5756.045535335477
23	6544.411219531799	5485.502748642841
24	6541.526152845054	5555.068886725062
25	1765.2115308853001	13419.313655512025
26	1733.2828663158496	12869.503558044937
27	1759.4525033360692	13022.791432460846
28	1665.0875582369058	12978.26543783826
29	1656.9691899758734	13252.64284971094
30	1875.0	13125.0
31	1909.6950505814602	13052.104938299046
32	1875.0	13125.0
33	2235.345340250265	13021.191350264438
34	1823.9029301475919	2641.0468477593067
35	1817.4103999603435	2421.3534294960978
36	1875.0	2625.0
37	2185.862301958926	2415.2629521977638
38	1750.5556782862689	2806.304692222077
39	1830.8544842808883	2671.629996391635
40	1819.8758902804886	2635.9910733748193
41	1814.40666879566	2745.068944525868
42	3949.4423137440795	4307.490671901025
43	4125.0	4125.0
44	4226.828296929971	3993.2240292747833
45	4125.0	4125.0
46	4125.0	4125.0
47	4363.217863460533	3970.6174547997903
48	4017.9343566669622	3908.833991214684
49	3827.791609570902	4018.9012375502352
50	4125.0	4125.0
51	4010.3342232124	4057.086961326984
52	4320.3171338137045	3942.028361073552
53	4125.0	4125.0
54	3845.2386378255287	4374.717000290898
55	3340.520429932439	1302.7268971893795
56	3288.618046707332	944.0878643727183
57	3428.5101022642693	977.5177681504804
58	3016.8769234642355	1053.0252884977072
59	3467.099751879123	1002.7507574053758
60	3375.0	1125.0
61	3375.0	1125.0
62	3509.3441070693384	1067.3144771482537
63	6204.410455706465	8595.089773965337
64	6342.105825618586	8593.128234809044
65	6375.0	8625.0
66	6408.131699266694	8520.973950478041
67	6368.123307574362	8641.580624979651
68	6546.521286586219	8511.202521455685
69	6149.727402740473	8924.79535840961
70	6204.214346564612	8655.978080608449
71	6413.058493717975	8504.145726513358
72	6375.0	8625.0
73	6240.037957219671	8415.049940562674
74	6545.977732937339	8579.19150134227
75	6335.579935733226	8642.909062933708
76	4045.672099595271	2703.211883189036
77	4079.450906381774	2389.013652905288
